4,1.8031597137451171e-06,3.6222934722900393e-07
8,3.936123847961426e-06,5.761384963989258e-07
12,5.757212638854981e-06,8.376359939575196e-07
16,7.701420783996583e-06,1.2172460556030274e-06
20,9.49394702911377e-06,1.4411687850952148e-06
24,1.239316463470459e-05,1.6024589538574218e-06
28,1.4046072959899902e-05,1.885366439819336e-06
32,1.5771937370300292e-05,2.1111488342285154e-06
36,1.7997336387634277e-05,2.595233917236328e-06
40,2.0223498344421386e-05,2.8297901153564453e-06
48,2.4729371070861816e-05,3.5668611526489257e-06
64,3.237290382385254e-05,5.037474632263183e-06
